datetime,ticker,open,close,high,low,volume
1994-07-04,ACE 3,48.0,48.0,48.0,47.0,46550.0
1994-07-04,ALP 3,155.27,156.0,156.0,155.27,163405.8
1994-07-04,ALP 4,131.0,131.0,131.0,131.0,6550.0
1994-07-04,IBP 6,600.0,600.0,600.0,600.0,7800.0
1994-07-04,AQT 4,0.89,0.99,0.99,0.85,13137.0
1994-07-04,ARN 4,145400.0,145400.0,145400.0,145400.0,1454.0
1994-07-04,AVP 3,2.9,3.0,3.0,2.9,1170.0
1994-07-04,BBR 3,20.0,20.0,20.0,20.0,2000.0
1994-07-04,BAD 3,13.0,13.0,13.0,13.0,3900.0
1994-07-04,BSE 4,9.8,9.8,9.8,9.8,980.0
1994-07-04,BEG 4,0.02,0.02,0.02,0.02,30.0
1994-07-04,BES 4,8.9,8.7,8.9,8.7,18650.0
1994-07-04,BEP 4,0.88,0.88,0.88,0.88,440.0
1994-07-04,BRS 3,0.32,0.32,0.32,0.32,160.0
1994-07-04,BRS 4,0.37,0.37,0.37,0.37,185.0
1994-07-04,BCN 4,4.71,4.4,4.71,4.35,12150.0
1994-07-04,BEL 3,99.66,100.0,100.04,99.66,77770.4
1994-07-04,BEL 4,98.18,97.0,98.18,97.0,155672.0
1994-07-04,BLP 4,1.02,0.9,1.02,0.85,1042.0
